Frame,IoU,Align_IoU
1,0.6255230125523012,0.6784534038334434
2,0.6457461645746164,0.6620291822192059
3,0.6573816155988857,0.6661146074859224
4,0.6325947105075054,0.6750334672021419
5,0.6577249575551782,0.6672297297297297
6,0.6328097731239093,0.6732203389830509
7,0.6540922869653082,0.6842991913746631
8,0.629979035639413,0.6733108108108108
9,0.6263033972418433,0.6792707629979743
10,0.6324029952348537,0.6954912516823688
11,0.6306680512287989,0.6843546730571722
12,0.6121873899260303,0.6701316701316701
13,0.6208547008547008,0.6991680532445923
14,0.6317962835512733,0.6909522195865808
15,0.6402170227195659,0.6738255033557047
16,0.6117850953206239,0.6773120425815037
17,0.5882162512139851,0.6757915567282322
18,0.6061312895701433,0.6959742351046699
19,0.5983908816627557,0.6783854166666666
20,0.5839320705421294,0.6918936035465485
21,0.5913477537437604,0.6802830492119653
22,0.5641971169963125,0.6744338693797177
23,0.5905377808032676,0.7068327162571525
24,0.6186237589866485,0.670549084858569
25,0.6267910696434522,0.6810957051065268
26,0.6475437993816557,0.657566565554432
27,0.6337290502793296,0.6656441717791411
28,0.6409556313993174,0.6758525663107131
29,0.6532285616672361,0.6718106995884774
30,0.6606701940035273,0.6620507748104187
31,0.6227461858529819,0.6819112627986348
32,0.6200219218122032,0.65732832251452
33,0.6054519368723099,0.6471186440677966
34,0.6029082774049217,0.6624472573839663
35,0.6079016026835632,0.625086385625432
36,0.5463102409638554,0.6210078069552875
37,0.5700227100681302,0.5956691515796947
38,0.5411808950733359,0.5626589175444969
39,0.5246159905474597,0.5581140350877193
40,0.5242290748898678,0.5518532384874579
41,0.5199374511336982,0.5406386066763426
42,0.5398967844382692,0.5373520710059172
43,0.5194706994328923,0.5462027684249906
44,0.4980237154150198,0.5323599052880821
45,0.5190270694389957,0.5462998837659822
46,0.49979449239621865,0.5415993537964459
47,0.5090180360721442,0.5435897435897435
48,0.5289356535815459,0.5418679549114331
49,0.5174230145867099,0.5322391559202814
50,0.5244532803180915,0.5357570914902118
